"FacilityID","URL","Name","FacilityType","Address1","Town","State","AddressNote","Latitude","Longitude","Parking","ParkingAccessible","ParkingNote","KeyRequired","MLAK24","MLAKAfterHours","PaymentRequired","AccessNote","AdultChange","ChangingPlaces","BYOSling","ACShower","ACMLAK","AdultChangeNote","BabyChange","BabyCareRoom","BabyChangeNote","DumpPoint","DPWashout","DPAfterHours","DumpPointNote","OpeningHours","OpeningHoursNote","Male","Female","Unisex","AllGender","Ambulant","Accessible","LHTransfer","RHTransfer","ToiletNote","SharpsDisposal","DrinkingWater","SanitaryDisposal","MensPadDisposal","Shower"
"65","https://toiletmap.gov.au/facility/65","Alan Anderson Park","Park or reserve","180 Lawnbrook Road West","Walliston","WA","","-32.00560560","116.08297877","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"67","https://toiletmap.gov.au/facility/67","Pickering Brook","Other","241 Pickering Brook Road","Pickering Brook","WA","","-32.03479483","116.13183010","True","True","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","False","False","Also 1 x Electric BBQ and Picnic Table","False","True","False","False","False"
"68","https://toiletmap.gov.au/facility/68","Kalamunda Bus Station","Bus station","19A Mead Street","Kalamunda","WA","","-31.97400015","116.05742268","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"69","https://toiletmap.gov.au/facility/69","Fleming Reserve","Park or reserve","39 Sorensen Road","High Wycombe","WA","","-31.94465565","115.99603809","True","True","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","False","False","Not wheelchair accessible Electric BBQ's, 
Picnic Tables,
Skate Park
Play Ground
Sporting Oval","False","False","False","False","False"
"70","https://toiletmap.gov.au/facility/70","Gooseberry Hill","Park or reserve","42 Ledger Road","Gooseberry Hill","WA","","-31.95614626","116.05784683","True","False","","False","False","False","False","Drive up the driveway to Gooseberry Hill Hall - toilets are on left hand side","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","True","False","False","False"
"71","https://toiletmap.gov.au/facility/71","Hedley Jorgensen Park","Park or reserve","Crescent Road","Kalamunda","WA","","-31.97215644","116.06489503","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","Not accessible to wheelchairs Located in former golf course which has been turned into an off leash dog exercise area - great location with BBQ and playground facilities nearby","False","True","False","False","False"
"72","https://toiletmap.gov.au/facility/72","Kalamunda Library","Community building","7 Williams Street","Kalamunda","WA","","-31.97093917","116.06003685","True","True","","False","False","False","False","","False","False","False","False","False","","True","False","","False","False","False","","OPEN: May-Sep 6am-6pm, Oct-Apr 6am-9pm","Facilities open during Library hours","True","True","False","False","False","True","False","True","","False","True","False","False","False"
"74","https://toiletmap.gov.au/facility/74","Lesmurdie Falls","Park or reserve","Falls Road","Lesmurdie","WA","","-31.99553312","116.03372231","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"76","https://toiletmap.gov.au/facility/76","Maida Vale Reserve","Sporting facility","35 Acacia Road","Maida Vale","WA","","-31.94915366","116.02638913","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"78","https://toiletmap.gov.au/facility/78","Stirk Park","Park or reserve","18 Kalamunda Road","Kalamunda","WA","","-31.96927928","116.05479621","True","True","","False","False","False","False","Disabled toilet restricted access. 6am - 9pm","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Daylight hours","","True","True","False","False","False","True","False","False","Large family park with BBQ facilities, playgrounds, sound shell and a swing for wheel chairs","True","True","False","False","False"
"79","https://toiletmap.gov.au/facility/79","SKAMP Hall","Sporting facility","22 Falls Road","Lesmurdie","WA","","-31.99208930","116.04966660","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","True","False","False","False"
